Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,54302.44,651629.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
[Esfera] Assessment Migration OCI to AWS-V2 > Amazon MQ,US East (N. Virginia),PRD AmazonMQ,Amazon MQ,0,1922.16,23065.92,USD,"Broker type (3-node cluster Broker), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Number of clustered Brokers (3), Amazon RabbitMQ Broker Instance (mq.m5.large), Storage per node (100 GB), Storage per Broker (200 GB)"
[Esfera] Assessment Migration OCI to AWS-V2 > Storage,US East (N. Virginia),PRD EBS,Amazon Elastic Block Store (EBS),0,5685.54,68226.48,USD,"Number of volumes (42), Average duration of volume (730 hours per month), Storage amount per volume (1 TB), Snapshot Frequency (Daily), Amount changed per snapshot (3 GB), Provisioning IOPS per volume (gp3) (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > Storage,US East (N. Virginia),s3,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
[Esfera] Assessment Migration OCI to AWS-V2 > Storage,US East (N. Virginia),s3,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > Storage,US East (N. Virginia),EFS  PRD-SHARED-STG-TST,Amazon Elastic File System (EFS),0,49.53,594.36,USD,"Desired Storage Capacity (2 TB per month), Infrequent Access Tiering (10 GB per month), Infrequent Access Read (50 GB per month), Archive Access Tiering (1 GB per month), Archive Access Read (5 GB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > Storage,South America (Sao Paulo),,Amazon Elastic Block Store (EBS),0,1.56,18.72,USD,"Number of volumes (1), Average duration of volume (730 hours per month), Storage amount per volume (8.2 GB), Snapshot Frequency (No snapshot storage)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),SHARED RDS MYSQL,RDS Backup,0,16.06,192.72,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (300 GB), Hourly backups warm retention period (15 Days), Monthly backups warm retention period (3 Months), Continuous backups warm retention period (15 Days), Daily backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),PRD EBS EC2,EBS Backup,0,1912.3,22947.60,USD,"Estimated annual increase in primary data (%) (0.002), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (14 TB), Monthly backups cold retention period (12 Months), Daily backups warm retention period (15 Days), Hourly backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),STG RDS PostgreSQL,RDS Backup,0,19.67,236.04,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (500 GB), Hourly backups warm retention period (15 Days), Monthly backups warm retention period (3 Months), Continuous backups warm retention period ( Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),TST RDS MYSQL,RDS Backup,0,64.46,773.52,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (1.6 TB), Hourly backups warm retention period (15 Days), Monthly backups warm retention period (3 Months)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),TST RDS PostgreSQL,RDS Backup,0,0.04,0.48,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (1 GB), Hourly backups warm retention period (10 Days), Monthly backups warm retention period (3 Months)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),PRD RDS PostgreSQL,RDS Backup,0,91.53,1098.36,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (1 TB), Hourly backups warm retention period (15 Days), Monthly backups warm retention period (12 Months), Continuous backups warm retention period (15 Days), Daily backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),STG EBS EC2,EBS Backup,0,420.16,5041.92,USD,"Estimated annual increase in primary data (%) (0.002), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (7 TB), Monthly backups cold retention period (3 Months), Daily backups warm retention period (15 Days)"
